,instrument,instrument_family,instrument_source,note,pitch,qualities,velocity
bass_synthetic_135-049-050,927,0,2,219347,49,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",50
keyboard_electronic_069-085-050,805,4,1,159118,85,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",50
organ_electronic_057-032-050,701,6,1,292784,32,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_electronic_028-078-075,510,3,1,85310,78,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
reed_acoustic_018-054-100,183,7,0,16467,54,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
brass_acoustic_016-086-100,128,1,0,86109,86,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
keyboard_electronic_003-071-025,65,4,1,196973,71,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
guitar_acoustic_030-050-025,642,3,0,191559,50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",25
guitar_electronic_028-087-075,510,3,1,22900,87,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
guitar_electronic_028-080-050,510,3,1,155497,80,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_021-042-075,457,3,0,161579,42,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
guitar_acoustic_015-079-127,316,3,0,72978,79,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",127
vocal_synthetic_003-083-127,37,10,2,11774,83,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",127
guitar_electronic_028-087-127,510,3,1,124337,87,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
bass_synthetic_134-052-127,914,0,2,205151,52,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",127
organ_electronic_057-044-100,701,6,1,280725,44,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_104-053-025,921,6,1,187574,53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
brass_acoustic_046-089-127,414,1,0,54554,89,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",127
organ_electronic_007-015-100,123,6,1,47988,15,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",100
bass_electronic_025-061-025,872,0,1,213105,61,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_electronic_098-027-075,905,4,1,41629,27,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",75
string_acoustic_080-055-025,675,8,0,112057,55,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",25
bass_synthetic_098-055-100,803,0,2,213056,55,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_113-057-025,958,6,1,206546,57,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_electronic_002-058-100,50,4,1,256033,58,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_068-096-075,656,0,2,70555,96,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",75
bass_synthetic_033-041-050,417,0,2,192686,41,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_010-078-025,219,3,0,11411,78,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
organ_electronic_001-069-050,8,6,1,292014,69,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
organ_electronic_001-094-075,8,6,1,179158,94,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
vocal_synthetic_003-034-050,37,10,2,2201,34,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",50
organ_electronic_028-050-050,440,6,1,159109,50,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
vocal_synthetic_003-035-127,37,10,2,37,35,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",127
vocal_acoustic_000-057-050,46,10,0,35822,57,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",50
string_acoustic_071-041-127,609,8,0,80348,41,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
keyboard_electronic_002-085-025,50,4,1,255813,85,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",25
organ_electronic_007-035-050,123,6,1,231038,35,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",50
bass_electronic_027-049-100,880,0,1,198228,49,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_electronic_022-067-100,378,3,1,238822,67,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_033-077-025,417,0,2,164575,77,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
vocal_synthetic_003-068-075,37,10,2,34986,68,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",75
bass_synthetic_009-084-100,150,0,2,240479,84,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",100
guitar_acoustic_021-029-100,457,3,0,143430,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
string_acoustic_071-036-025,609,8,0,61921,36,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",25
keyboard_electronic_098-091-075,905,4,1,83290,91,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",75
brass_acoustic_046-084-050,414,1,0,34371,84,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",50
vocal_synthetic_003-080-127,37,10,2,17150,80,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",127
keyboard_acoustic_004-100-100,327,4,0,288481,100,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",100
vocal_synthetic_003-035-025,37,10,2,6545,35,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",25
flute_synthetic_000-027-075,82,2,2,52038,27,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_electronic_002-055-127,50,4,1,116789,55,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
bass_synthetic_034-088-050,420,0,2,119953,88,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",50
bass_synthetic_068-103-050,656,0,2,207822,103,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",50
bass_synthetic_068-052-075,656,0,2,246699,52,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
bass_synthetic_068-079-050,656,0,2,207433,79,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",50
organ_electronic_007-058-050,123,6,1,218648,58,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",50
bass_synthetic_068-042-050,656,0,2,261560,42,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_009-074-100,150,0,2,215105,74,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",100
bass_synthetic_135-090-025,927,0,2,258127,90,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_synthetic_000-046-075,577,4,2,215451,46,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",75
organ_electronic_007-075-127,123,6,1,148988,75,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",127
keyboard_electronic_003-041-075,65,4,1,75896,41,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",75
organ_electronic_007-047-100,123,6,1,104430,47,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",100
organ_electronic_007-045-025,123,6,1,177306,45,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",25
brass_acoustic_006-025-050,43,1,0,5931,25,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",50
brass_acoustic_006-056-050,43,1,0,44441,56,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",50
guitar_acoustic_014-107-100,263,3,0,162496,107,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",100
organ_electronic_104-053-050,921,6,1,50519,53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_electronic_025-034-025,872,0,1,62327,34,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_009-086-025,150,0,2,260989,86,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",25
mallet_acoustic_062-036-025,644,5,0,92678,36,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",25
organ_electronic_001-036-075,8,6,1,271573,36,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
bass_synthetic_098-074-075,803,0,2,259878,74,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_electronic_001-059-025,40,4,1,303688,59,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
mallet_acoustic_062-100-100,644,5,0,81130,100,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",100
guitar_electronic_022-078-025,378,3,1,259731,78,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_134-095-050,914,0,2,156718,95,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",50
guitar_acoustic_021-097-100,457,3,0,1237,97,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",100
flute_synthetic_000-104-127,82,2,2,6176,104,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
organ_electronic_001-044-025,8,6,1,92042,44,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_068-083-075,656,0,2,244355,83,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",75
reed_acoustic_011-045-025,104,7,0,114414,45,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_electronic_098-024-075,905,4,1,294987,24,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",75
brass_acoustic_016-081-127,128,1,0,28192,81,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
guitar_electronic_028-104-025,510,3,1,178989,104,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
guitar_acoustic_014-031-100,263,3,0,115784,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
brass_acoustic_046-067-127,414,1,0,20016,67,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
flute_acoustic_002-106-127,86,2,0,143962,106,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
mallet_acoustic_056-078-075,590,5,0,180175,78,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",75
flute_synthetic_000-026-075,82,2,2,132885,26,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",75
organ_electronic_001-063-025,8,6,1,298977,63,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
string_acoustic_080-028-050,675,8,0,40259,28,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",50
bass_synthetic_033-096-050,417,0,2,87328,96,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_021-035-127,457,3,0,38047,35,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
brass_acoustic_046-060-075,414,1,0,91881,60,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
guitar_electronic_022-027-075,378,3,1,66418,27,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
organ_electronic_104-055-050,921,6,1,195421,55,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_134-066-100,914,0,2,259947,66,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",100
keyboard_acoustic_004-086-127,327,4,0,296177,86,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
bass_electronic_018-045-127,759,0,1,195836,45,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
brass_acoustic_006-037-025,43,1,0,62006,37,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
guitar_electronic_028-071-075,510,3,1,144004,71,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
guitar_acoustic_015-047-075,316,3,0,65676,47,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
guitar_acoustic_021-060-050,457,3,0,3914,60,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_135-081-050,927,0,2,267125,81,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_135-070-025,927,0,2,190326,70,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",25
brass_acoustic_006-072-100,43,1,0,32823,72,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
flute_synthetic_000-059-127,82,2,2,129347,59,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
keyboard_electronic_001-090-127,40,4,1,112418,90,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
brass_acoustic_046-077-075,414,1,0,29102,77,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
vocal_synthetic_003-101-050,37,10,2,50460,101,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",50
brass_acoustic_059-040-025,572,1,0,41725,40,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
brass_acoustic_016-062-050,128,1,0,22964,62,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
keyboard_electronic_078-066-075,838,4,1,186612,66,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
guitar_acoustic_015-089-127,316,3,0,20880,89,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",127
keyboard_electronic_002-080-025,50,4,1,252779,80,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",25
guitar_electronic_028-061-050,510,3,1,38865,61,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_010-035-127,219,3,0,169009,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
keyboard_electronic_001-083-075,40,4,1,65527,83,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
guitar_electronic_028-049-100,510,3,1,138466,49,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_acoustic_021-032-075,457,3,0,69701,32,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
string_acoustic_071-038-025,609,8,0,14251,38,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",25
bass_synthetic_033-093-075,417,0,2,267924,93,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
reed_acoustic_037-046-127,387,7,0,25353,46,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
keyboard_electronic_001-101-127,40,4,1,128041,101,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",127
keyboard_electronic_069-042-050,805,4,1,305301,42,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",50
reed_acoustic_018-068-100,183,7,0,100757,68,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_104-075-100,921,6,1,264018,75,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
reed_acoustic_037-070-025,387,7,0,118056,70,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
organ_electronic_028-043-075,440,6,1,296733,43,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
bass_synthetic_034-037-050,420,0,2,248330,37,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",50
organ_electronic_113-042-127,958,6,1,291500,42,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",127
bass_synthetic_033-099-050,417,0,2,249098,99,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_015-050-025,316,3,0,8811,50,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
flute_acoustic_002-085-075,86,2,0,123975,85,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",75
bass_synthetic_068-041-050,656,0,2,253032,41,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_electronic_022-073-075,378,3,1,268767,73,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
guitar_acoustic_015-057-050,316,3,0,186284,57,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",50
bass_synthetic_009-016-100,150,0,2,206496,16,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",100
keyboard_electronic_003-054-050,65,4,1,136839,54,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
string_acoustic_012-027-100,97,8,0,51759,27,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",100
organ_electronic_028-075-025,440,6,1,290115,75,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_033-033-075,417,0,2,100205,33,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
bass_synthetic_134-087-050,914,0,2,230895,87,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",50
organ_electronic_007-076-100,123,6,1,238176,76,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",100
organ_electronic_001-039-075,8,6,1,256981,39,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
bass_synthetic_098-098-127,803,0,2,242514,98,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
vocal_synthetic_003-038-127,37,10,2,6907,38,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",127
keyboard_electronic_078-048-100,838,4,1,303840,48,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
keyboard_electronic_002-100-075,50,4,1,24291,100,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",75
keyboard_electronic_001-076-050,40,4,1,291623,76,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
organ_electronic_007-051-075,123,6,1,300179,51,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",75
guitar_acoustic_010-067-050,219,3,0,24351,67,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_033-036-050,417,0,2,250659,36,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
mallet_acoustic_062-108-025,644,5,0,64154,108,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",25
guitar_electronic_022-080-100,378,3,1,289219,80,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_104-081-075,921,6,1,208103,81,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
bass_synthetic_098-101-127,803,0,2,130150,101,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
keyboard_electronic_098-087-100,905,4,1,194567,87,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",100
guitar_electronic_028-059-075,510,3,1,143189,59,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
guitar_acoustic_015-081-050,316,3,0,79326,81,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",50
organ_electronic_028-070-025,440,6,1,285976,70,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
organ_electronic_057-041-025,701,6,1,2028,41,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_009-040-075,150,0,2,247905,40,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",75
bass_synthetic_135-069-050,927,0,2,284417,69,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",50
mallet_acoustic_047-091-075,488,5,0,153893,91,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",75
bass_synthetic_098-036-127,803,0,2,239302,36,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
reed_acoustic_037-049-100,387,7,0,69894,49,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
flute_synthetic_000-047-127,82,2,2,83163,47,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
guitar_acoustic_015-052-075,316,3,0,163844,52,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
bass_synthetic_068-027-127,656,0,2,244745,27,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",127
organ_electronic_104-082-075,921,6,1,231334,82,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_synthetic_000-089-100,577,4,2,141565,89,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",100
mallet_acoustic_056-116-075,590,5,0,63456,116,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",75
bass_electronic_025-035-075,872,0,1,185950,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_electronic_001-080-075,40,4,1,224741,80,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
mallet_acoustic_062-029-075,644,5,0,107387,29,"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",75
keyboard_electronic_003-057-050,65,4,1,244556,57,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_033-040-025,417,0,2,277974,40,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
guitar_acoustic_015-058-050,316,3,0,65979,58,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",50
bass_synthetic_135-055-100,927,0,2,244203,55,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
keyboard_electronic_078-085-100,838,4,1,293701,85,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_134-072-127,914,0,2,200698,72,"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0]",127
guitar_acoustic_015-061-127,316,3,0,164153,61,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
string_acoustic_012-053-127,97,8,0,62968,53,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
mallet_acoustic_062-082-025,644,5,0,39531,82,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",25
organ_electronic_001-057-025,8,6,1,155035,57,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_068-058-025,656,0,2,18732,58,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_electronic_027-052-050,880,0,1,285188,52,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_030-074-075,642,3,0,25642,74,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",75
keyboard_electronic_002-076-050,50,4,1,296671,76,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",50
organ_electronic_104-031-100,921,6,1,80354,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_007-010-025,123,6,1,299464,10,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",25
keyboard_synthetic_000-062-127,577,4,2,149747,62,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",127
brass_acoustic_006-053-025,43,1,0,64274,53,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
guitar_acoustic_014-037-100,263,3,0,191156,37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
keyboard_electronic_069-056-025,805,4,1,297803,56,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_electronic_069-075-025,805,4,1,228182,75,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",25
mallet_acoustic_047-100-050,488,5,0,127464,100,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",50
brass_acoustic_059-059-100,572,1,0,67511,59,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
reed_acoustic_023-040-127,224,7,0,140822,40,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",127
string_acoustic_071-049-075,609,8,0,80069,49,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",75
reed_acoustic_018-056-050,183,7,0,46746,56,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
mallet_acoustic_047-078-075,488,5,0,94856,78,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",75
bass_synthetic_033-065-100,417,0,2,213954,65,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_028-085-100,440,6,1,192480,85,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
brass_acoustic_015-046-100,121,1,0,90171,46,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
brass_acoustic_046-105-127,414,1,0,9996,105,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",127
string_acoustic_056-059-025,436,8,0,101951,59,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",25
keyboard_acoustic_004-087-050,327,4,0,3309,87,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",50
keyboard_acoustic_004-052-050,327,4,0,210036,52,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",50
bass_synthetic_033-067-025,417,0,2,50734,67,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
string_acoustic_014-064-127,100,8,0,112015,64,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",127
brass_acoustic_006-035-075,43,1,0,88934,35,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
brass_acoustic_059-063-127,572,1,0,55351,63,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
keyboard_acoustic_004-073-127,327,4,0,275046,73,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
guitar_electronic_028-083-127,510,3,1,110990,83,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
keyboard_synthetic_000-094-127,577,4,2,83385,94,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0]",127
guitar_acoustic_030-039-025,642,3,0,152953,39,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",25
reed_acoustic_037-068-025,387,7,0,121045,68,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
keyboard_acoustic_004-048-127,327,4,0,260880,48,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
organ_electronic_001-075-075,8,6,1,158730,75,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
vocal_synthetic_003-074-127,37,10,2,46268,74,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",127
mallet_acoustic_062-040-075,644,5,0,99394,40,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",75
organ_electronic_104-065-127,921,6,1,197206,65,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
organ_electronic_007-043-075,123,6,1,104542,43,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",75
guitar_acoustic_015-096-025,316,3,0,104888,96,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",25
vocal_acoustic_000-061-075,46,10,0,17634,61,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
brass_acoustic_006-051-075,43,1,0,12825,51,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
brass_acoustic_059-062-050,572,1,0,94714,62,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",50
guitar_acoustic_014-079-100,263,3,0,169977,79,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",100
keyboard_electronic_003-038-025,65,4,1,270946,38,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_electronic_003-045-100,65,4,1,96521,45,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_009-029-075,150,0,2,138624,29,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",75
bass_synthetic_068-100-075,656,0,2,263174,100,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",75
mallet_acoustic_062-051-100,644,5,0,26550,51,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",100
